Latitude,Longitude
51.2352561951,4.4161882401
51.1943588257,4.4185533524
51.21534729,4.4105849266
51.2270317078,4.4023199081
51.2315216064,4.403031826
51.1944389343,4.4180717468
51.1957893372,4.4559149742
51.2164955139,4.4025468826
51.2274169922,4.3778114319
51.2276763916,4.4095931053
51.2210693359,4.4066648483
51.1959533691,4.4085917473
51.2123374939,4.4230685234
51.1947402954,4.4194965363
51.2322158813,4.4052081108
51.2155532837,4.4082965851
51.2333183289,4.4092102051
51.2167015076,4.4100084305
51.2205924988,4.4096198082
51.2227325439,4.3987717629
51.2299804688,4.4024281502
51.2269439697,4.4360432625
51.2305030823,4.4053516388
51.2006607056,4.4118466377
51.2333679199,4.4175314903
51.2231445312,4.3991699219
51.2270050049,4.408903122
51.2010803223,4.4027233124
51.2033882141,4.4255285263
51.205657959,4.3934202194
51.1941070557,4.4184064865
51.1944541931,4.4185385704
51.2013435364,4.4222135544
51.2299346924,4.422958374
51.2209892273,4.4595365524
51.2034454346,4.4253849983
51.2262916565,4.4004917145
51.1983184814,4.407515049
51.1960144043,4.4085698128
51.2021255493,4.4199285507
51.1942977905,4.4181165695
51.2026863098,4.4157600403
51.2357292175,4.4091100693
51.2164306641,4.4045801163
51.20885849,4.4361801148
51.2337684631,4.40583992
51.2035865784,4.3950533867
51.2152748108,4.4083285332
51.1942634583,4.4184617996
51.2127723694,4.4076533318
51.2356758118,4.4185433388
51.2042121887,4.3902897835
51.2055091858,4.4256534576
51.2344703674,4.4106149674
51.2162284851,4.4105615616
51.2357521057,4.4176402092
51.1944389343,4.4185700417
51.1944122314,4.4070100784
51.2192001343,4.4046134949
51.2038230896,4.3893618584
51.2210388184,4.4066767693
51.2332191467,4.4091267586
51.2056732178,4.4171533585
51.1940917969,4.4186615944
51.2122421265,4.4096984863
51.1941719055,4.4182715416
51.1944198608,4.4185533524
51.2172927856,4.3708515167
51.1942062378,4.4185881615
51.2107505798,4.4250597954
51.220916748,4.4066200256
51.2040748596,4.3894014359
51.2317276001,4.4051599503
51.221496582,4.4104981422
51.2165565491,4.4029331207
51.2026748657,4.421538353
51.2069740295,4.3650684357
51.2009124756,4.3977899551
51.2085151672,4.4388618469
51.2203483582,4.3996548653
51.1942710876,4.4182667732
51.219997406,4.4150066376
51.2123641968,4.420853138
51.1941680908,4.4182400703
51.2123527527,4.4244117737
51.2126617432,4.4101781845
51.2058639526,4.4214468002
51.2144126892,4.4107685089
51.2162513733,4.4331617355
51.2144546509,4.415913105
51.2346916199,4.4111847878
51.194278717,4.4182701111
51.2026786804,4.4149684906
51.1943054199,4.4185700417
51.2082366943,4.4431180954
51.2274742126,4.4015831947
51.2106933594,4.4098482132
51.2105712891,4.4215598106
51.2027435303,4.4162034988
51.2306938171,4.403236866
51.2331924438,4.4278597832
51.2234764099,4.402794838
51.212184906,4.409526825
51.2330513,4.4057731628
51.2318649292,4.4528164864
51.2208061218,4.4137334824
51.2062759399,4.3872952461
51.2172966003,4.4138183594
51.1976699829,4.4086632729
51.2015151978,4.4235649109
51.1943588257,4.4185566902
51.2126731873,4.4563298225
51.1944351196,4.4185781479
51.2261314392,4.4007434845
51.2014007568,4.411031723
51.2306900024,4.4128084183
51.2321624756,4.4031000137
51.2100296021,4.4068665505
51.2184257507,4.4170331955
51.2158584595,4.4188785553
51.2021179199,4.4197402
51.1942481995,4.4182415009
51.1941566467,4.4180531502
51.2134437561,4.4226198196
51.2200050354,4.4150733948
51.2359924316,4.4261283875
51.1947097778,4.4043798447
51.2155380249,4.4081249237
51.229511261,4.401995182
51.2251167297,4.4118084908
51.22605896,4.4046797752
51.2079315186,4.4212884903
51.194393158,4.4185566902
51.2200164795,4.4496164322
51.2359466553,4.4261364937
51.213142395,4.42446661
51.1941680908,4.4182801247
51.19972229,4.3912448883
51.2357940674,4.4167432785
51.1929473877,4.4079933167
51.1943130493,4.4185051918
51.202796936,4.4215984345
51.2359466553,4.4167733192
51.1943397522,4.4187035561
51.2308692932,4.4120664597
51.2357597351,4.4165401459
51.2026863098,4.3917284012
51.2337188721,4.4185333252
51.2196083069,4.4527201653
51.1943359375,4.4182481766
51.194316864,4.4187235832
