,BS 1,BS 2,BS 3,BS 4,BS 5,BS 6,BS 7,BS 8,BS 9,BS 10,BS 11,BS 12,BS 13,BS 14,BS 15,BS 16,BS 17,BS 18,BS 19,BS 20,BS 21,BS 22,BS 23,BS 24,BS 25,BS 26,BS 27,BS 28,BS 29,BS 30,BS 31,BS 32,BS 33,BS 34,BS 35,BS 36,BS 37,BS 38,BS 39,BS 40,BS 41,BS 42,BS 43,BS 44,BS 45,BS 46,BS 47,BS 48,BS 49,BS 50,BS 51,BS 52,BS 53,BS 54,BS 55,BS 56,BS 57,BS 58,BS 59,BS 60,BS 61,BS 62,BS 63,BS 64,BS 65,BS 66,BS 67,BS 68,RX Time,SF,HDOP,Latitude,Longitude,Weather param sense time,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,global_tilted_irradiance_instant,terrestrial_radiation_instant
0,-200,-200,-200,-200,-200,-200,-200,-200,-114,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-113,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-28 16:14:07.247000+00:00,12,1.0199999809,51.2167358398,4.412129879,2017-12-28T16:14,2017-12-28 16:14:00+00:00,3.2455,74.766975,-0.80450004,-1.4714243,0.0,0.0,0.0,0.0,1.0,1002.6,1001.9804,29.4,18.0,22.0,0.0,0.023582062,0.19512099,16.946787,29.738703,257.73523,263.04712,32.039997,8.0,3.0,5.0,51.51376,7.999999,21.081083,0.0,0.0,0.0,0.0,0.0,0.0
1,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-102,-200,-103,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-11-28 12:01:02.380000+00:00,7,0.5699999928,51.2320365906,4.4051847458,2017-11-28T12:01,2017-11-28 12:01:00+00:00,6.6955,85.26226,4.3954997,3.0500402,0.0,0.0,0.0,0.0,1.0,1006.4,1005.786,43.5,35.0,20.0,0.0,0.06677982,0.1449228,15.7908325,22.26477,245.77226,247.1663,36.36,185.0,106.0,79.0,356.05246,184.99998,418.42252,182.83615,104.76017,78.07597,356.0525,182.83614,413.5284
2,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-106,-200,-200,-200,-200,-200,-97,-200,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-14 09:05:22.832000+00:00,9,1.0,51.2027626038,4.3904767036,2017-12-14T09:05,2017-12-14 09:05:00+00:00,4.0455,79.654655,0.8455,-2.085968,0.0,0.0,0.0,0.01,2.0,993.2,992.58813,56.4,32.0,21.0,50.0,0.039142385,0.16644639,28.394392,44.930824,230.6595,232.48732,54.0,35.0,6.0,29.0,54.315105,35.000004,133.44254,54.01059,9.258959,44.751633,63.470764,46.219566,205.92316
3,-200,-100,-200,-200,-200,-200,-200,-200,-200,-113,-200,-200,-200,-106,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-17 09:11:49.222000+00:00,12,0.6200000048,51.1945838928,4.417886734,2018-01-17T09:11,2018-01-17 09:11:00+00:00,3.2455,72.081696,-1.3045,-3.0126579,0.2,0.0,0.14,0.0,71.0,1000.5,999.8817,100.0,40.0,78.0,73.0,0.05041344,0.21588308,27.021591,43.2015,267.70944,270.47745,54.719997,45.0,21.0,24.0,170.03316,44.999992,164.43028,66.07958,30.83714,35.242443,180.50298,62.246716,241.45522
4,-200,-106,-107,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-109,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-10 14:47:01.379000+00:00,12,1.0,51.2072029114,4.4034700394,2018-01-10T14:47,2018-01-10 14:47:00+00:00,7.4455,94.01967,6.5455,4.709943,0.1,0.1,0.0,0.0,51.0,1006.9,1006.2873,100.0,63.0,97.0,64.0,0.02337686,0.061904073,12.758432,21.659916,196.38962,201.4478,25.919998,37.0,2.0,35.0,11.516722,37.0,245.60771,26.762775,1.4466366,25.31614,11.516721,26.762775,177.65254
5,-200,-200,-200,-200,-113,-200,-200,-200,-200,-200,-200,-200,-113,-112,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-12 07:33:14.423000+00:00,9,0.7099999785,51.2269325256,4.4017715454,2017-12-12T07:33,2017-12-12 07:33:00+00:00,1.0955,94.39475,0.2955,-3.1673403,0.0,0.0,0.0,0.09,3.0,1003.2,1002.57544,97.5,22.0,92.0,75.0,0.0,0.037187815,14.973576,28.449112,260.31128,268.5498,27.359999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-111,-108,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-113,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-29 08:27:42.256000+00:00,12,0.6500000358,51.2056388855,4.4182548523,2017-12-29T08:27,2017-12-29 08:27:00+00:00,-0.15450001,88.63637,-1.8045,-5.3254137,0.0,0.0,0.0,0.0,2.0,1004.3,1003.6718,56.100002,1.0,42.0,100.0,0.016528526,0.068875015,19.083395,34.875435,181.0809,187.7118,34.2,0.0,0.0,0.0,0.0,0.0,38.825043,0.0,0.0,0.0,0.0,0.0,95.781624
7,-200,-200,-200,-200,-200,-200,-200,-200,-101,-200,-200,-119,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2017-12-30 08:55:26.850000+00:00,12,0.6000000238,51.2202301025,4.4287085533,2017-12-30T08:55,2017-12-30 08:55:00+00:00,9.1455,92.19982,7.9455,3.8196163,0.3,0.3,0.0,0.0,51.0,993.4,992.79926,100.0,100.0,0.0,100.0,0.022776896,0.09060073,32.846916,53.232548,223.66785,226.91826,60.839996,0.0,0.0,0.0,0.0,0.0,88.89411,0.0,0.0,0.0,0.0,0.0,167.41957
8,-112,-200,-200,-200,-200,-200,-200,-200,-200,-90,-109,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-17 04:56:43.537000+00:00,12,0.6899999976,51.1943092346,4.4182167053,2018-01-17T04:56,2018-01-17 04:56:00+00:00,1.6955,86.88546,-0.2545,-4.1449146,0.7,0.19999999,0.35,0.0,73.0,996.1,995.481,99.299995,63.0,40.0,62.0,0.010615178,0.09083229,25.210283,40.68637,268.36346,271.01395,58.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-200,-200,-200,-200,-200,-200,-200,-200,-120,-200,-200,-119,-200,-200,-200,-200,-102,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,2018-01-17 08:51:37.140000+00:00,12,1.0499999523,51.2173309326,4.4285569191,2018-01-17T08:51,2018-01-17 08:51:00+00:00,2.2455,74.313995,-1.8544999,-3.6280112,0.1,0.0,0.07,0.0,71.0,999.6,998.9801,42.9,14.0,38.0,25.0,0.043546606,0.18501848,23.857979,38.90666,264.80566,267.87894,46.44,1.0,0.0,1.0,0.0,1.0,108.88502,1.765511,0.0,1.765511,0.0,1.29564,192.23769
